Equipa Médica,Número de Consultas,Data Consulta
Não Aplicável - NA,8,2023-10-25
PD,5,2023-11-03
Não Aplicável - NA,11,2023-04-29
PD,13,2023-06-19
MJG,8,2023-12-18
SM,12,2023-09-01
Não Aplicável - NA,9,2024-01-04
PM,9,2023-07-17
Não Aplicável - NA,13,2023-09-10
PM,6,2023-09-23
PD,12,2023-05-21
PM,11,2023-12-14
PM,6,2024-03-13
MJG,11,2023-08-27
PD,11,2024-02-20
PD,6,2023-06-13
PM,6,2023-08-16
MJG,15,2023-05-22
PM,7,2024-04-08
PD,5,2024-02-04
PM,9,2023-04-16
PM,14,2023-07-08
Não Aplicável - NA,13,2023-12-08
MJG,11,2023-12-23
Não Aplicável - NA,14,2023-04-18
SM,8,2023-11-28
Não Aplicável - NA,8,2023-12-11
SM,9,2024-02-29
PD,14,2024-03-03
PD,12,2023-05-28
SM,13,2023-10-29
PM,13,2023-08-18
Não Aplicável - NA,9,2023-05-02
SM,8,2023-05-14
MJG,11,2023-12-19
PM,14,2024-01-22
PM,14,2023-12-24
MJG,5,2023-09-08
Não Aplicável - NA,10,2023-08-15
MJG,12,2023-09-23
PD,14,2023-09-24
SM,6,2023-04-17
SM,7,2023-05-01
Não Aplicável - NA,10,2023-10-23
Não Aplicável - NA,6,2023-07-05
SM,5,2024-02-26
Não Aplicável - NA,5,2023-06-04
MJG,11,2023-06-03
Não Aplicável - NA,11,2023-08-31
PD,6,2024-01-05
Não Aplicável - NA,8,2024-01-16
Não Aplicável - NA,14,2023-11-04
PM,14,2023-09-25
SM,10,2024-02-04
PD,14,2023-12-29
PM,7,2023-12-27
PD,14,2023-07-02
PM,7,2023-11-16
PD,14,2023-09-10
PD,11,2023-12-17
PD,7,2024-01-09
Não Aplicável - NA,7,2023-12-01
MJG,8,2023-04-25
MJG,12,2023-10-13
PD,9,2023-12-17
SM,15,2023-10-22
MJG,6,2023-12-09
PD,15,2023-05-11
Não Aplicável - NA,8,2023-07-20
MJG,9,2024-02-27
MJG,11,2023-09-08
SM,6,2023-12-01
SM,8,2023-05-09
SM,6,2023-09-12
PM,6,2024-01-11
PD,12,2023-11-27
MJG,6,2023-12-23
Não Aplicável - NA,8,2024-01-30
PM,13,2024-04-10
PM,15,2023-04-22
PM,10,2023-10-12
SM,12,2024-01-12
PD,10,2023-10-07
Não Aplicável - NA,14,2023-08-07
PM,8,2023-10-24
PD,14,2024-02-05
MJG,9,2023-12-24
PM,5,2024-02-24
SM,14,2023-04-30
SM,11,2024-03-13
Não Aplicável - NA,13,2024-01-10
MJG,6,2024-03-20
Não Aplicável - NA,7,2023-05-25
PD,7,2024-03-26
Não Aplicável - NA,11,2024-02-29
MJG,8,2024-01-12
PD,11,2023-04-27
PM,13,2023-10-15
SM,9,2023-11-14
PM,9,2023-05-21
PM,6,2024-02-11
SM,10,2023-08-25
Não Aplicável - NA,9,2023-08-15
PM,12,2023-08-12
PD,14,2023-05-07
Não Aplicável - NA,6,2023-11-09
PD,8,2023-07-29
Não Aplicável - NA,11,2024-02-12
PD,13,2024-03-06
SM,5,2023-12-01
MJG,8,2024-02-26
SM,12,2023-07-12
MJG,8,2023-10-06
SM,15,2023-10-25
PM,8,2023-11-14
PD,12,2024-01-27
SM,7,2023-05-05
PM,7,2023-07-16
PD,13,2023-07-19
SM,15,2023-04-28
Não Aplicável - NA,15,2023-07-02
PD,10,2023-06-26
MJG,11,2023-10-15
PD,13,2023-06-15
Não Aplicável - NA,12,2024-02-02
MJG,14,2023-05-26
PM,13,2023-04-28
SM,5,2023-12-31
MJG,5,2023-06-18
PD,7,2023-08-15
PD,14,2023-08-07
Não Aplicável - NA,8,2023-04-18
PD,5,2023-06-27
MJG,10,2023-05-07
PD,15,2024-02-28
PD,7,2023-11-28
PM,7,2024-01-17
SM,9,2023-06-28
Não Aplicável - NA,11,2023-12-27
PM,8,2024-01-21
PM,14,2023-06-04
PD,7,2023-05-31
PD,12,2023-05-10
PM,15,2023-05-11
Não Aplicável - NA,11,2023-12-08
Não Aplicável - NA,5,2023-11-02
Não Aplicável - NA,14,2023-12-06
MJG,9,2024-02-19
PD,15,2024-03-09
SM,11,2023-07-19
PD,13,2023-10-13
SM,8,2023-07-16
MJG,15,2023-11-18
PD,8,2024-03-17
MJG,6,2023-05-17
SM,15,2023-06-27
PM,9,2023-04-18
SM,8,2023-05-25
Não Aplicável - NA,8,2024-04-01
PM,13,2024-02-13
PM,15,2024-04-12
SM,14,2023-08-28
PM,8,2024-03-04
PM,15,2024-04-03
Não Aplicável - NA,5,2023-06-18
MJG,7,2023-07-04
MJG,5,2023-12-21
PM,7,2023-07-27
MJG,13,2024-03-21
SM,11,2023-06-20
PD,11,2023-06-28
PM,9,2023-12-01
Não Aplicável - NA,5,2023-06-30
PM,14,2024-04-02
MJG,9,2023-11-03
PD,9,2023-08-17
PD,12,2024-01-28
SM,13,2023-05-26
Não Aplicável - NA,5,2023-10-07
MJG,8,2023-06-26
PD,12,2024-04-11
SM,15,2024-04-02
SM,15,2023-09-11
PM,5,2023-06-02
MJG,9,2023-08-29
Não Aplicável - NA,7,2023-04-19
Não Aplicável - NA,11,2023-09-05
SM,10,2024-01-12
PM,11,2023-12-17
PD,6,2023-06-19
SM,11,2023-07-23
SM,6,2023-08-13
Não Aplicável - NA,10,2024-03-21
PM,12,2023-12-29
PM,8,2023-07-09
Não Aplicável - NA,11,2024-02-22
PD,11,2024-01-05
Não Aplicável - NA,8,2023-06-30
PM,7,2023-08-28
PM,14,2024-02-23
PM,12,2023-09-08
Não Aplicável - NA,13,2024-02-13
PM,14,2023-07-19
SM,11,2023-08-16
PD,9,2024-03-25
PD,15,2023-12-15
Não Aplicável - NA,9,2024-02-27
SM,10,2023-09-24
PM,15,2023-05-16
SM,6,2023-04-24
Não Aplicável - NA,13,2023-08-28
MJG,12,2023-06-13
Não Aplicável - NA,6,2023-07-20
Não Aplicável - NA,8,2023-07-29
Não Aplicável - NA,6,2023-08-21
PD,8,2023-06-29
Não Aplicável - NA,11,2023-05-09
PM,9,2024-01-22
PD,10,2024-02-04
PD,10,2023-08-23
PD,5,2023-10-15
MJG,5,2023-09-05
Não Aplicável - NA,15,2023-12-13
Não Aplicável - NA,8,2024-02-28
PD,6,2023-09-23
PM,13,2023-05-19
Não Aplicável - NA,7,2023-09-02
SM,14,2023-10-12
PM,15,2024-01-15
PD,14,2023-05-15
PD,7,2023-06-24
PM,11,2023-07-09
MJG,10,2024-03-05
Não Aplicável - NA,15,2024-02-16
Não Aplicável - NA,13,2024-01-19
SM,10,2023-07-01
PM,13,2023-07-12
PM,14,2023-05-11
PM,8,2023-06-04
Não Aplicável - NA,14,2023-06-11
SM,13,2023-08-24
SM,11,2023-08-06
PM,11,2023-06-12
MJG,12,2023-11-09
PM,10,2023-05-19
PM,10,2024-03-14
SM,5,2023-12-20
SM,8,2024-03-28
Não Aplicável - NA,11,2023-09-06
PM,10,2024-03-05
Não Aplicável - NA,8,2024-02-29
PD,13,2024-04-06
SM,5,2023-08-13
SM,6,2023-09-08
Não Aplicável - NA,11,2024-02-28
Não Aplicável - NA,15,2024-01-16
PD,6,2023-06-14
Não Aplicável - NA,11,2023-09-20
PM,13,2023-12-10
MJG,8,2023-07-15
PD,15,2023-10-19
SM,9,2024-01-05
MJG,5,2023-04-30
PM,5,2023-04-23
PM,6,2023-05-04
PM,10,2023-04-24
PM,11,2024-01-01
Não Aplicável - NA,12,2024-01-23
Não Aplicável - NA,10,2023-07-26
Não Aplicável - NA,8,2024-01-12
SM,7,2023-06-19
SM,13,2023-12-20
PD,7,2023-11-28
SM,11,2023-05-03
Não Aplicável - NA,12,2023-04-20
PD,13,2023-12-08
SM,12,2023-08-05
MJG,5,2023-06-29
MJG,14,2023-04-26
Não Aplicável - NA,8,2023-11-01
MJG,15,2023-12-18
PD,10,2023-11-08
PM,9,2023-09-23
PM,7,2023-11-25
SM,5,2023-12-08
SM,11,2023-09-06
SM,11,2023-09-23
MJG,5,2024-01-17
SM,13,2024-02-08
PD,5,2024-02-18
PD,15,2023-10-19
SM,6,2024-02-06
PM,14,2023-04-24
SM,5,2024-02-15
MJG,13,2023-12-28
Não Aplicável - NA,11,2023-08-02
SM,9,2024-04-06
MJG,10,2023-04-28
SM,9,2023-08-27
Não Aplicável - NA,12,2023-06-06
MJG,5,2023-05-13
Não Aplicável - NA,5,2023-08-28
Não Aplicável - NA,7,2023-05-26
PD,15,2023-08-01
PD,9,2023-05-01
PM,15,2023-11-06
PD,5,2023-10-23
PM,9,2024-03-06
PD,7,2023-07-29
PM,10,2024-01-04
Não Aplicável - NA,7,2023-11-12
PD,12,2023-11-10
Não Aplicável - NA,8,2023-10-11
Não Aplicável - NA,8,2024-03-27
Não Aplicável - NA,9,2023-11-24
MJG,7,2024-03-31
SM,6,2023-11-29
MJG,6,2023-12-26
SM,13,2024-03-11
PD,9,2023-04-17
MJG,13,2023-05-18
MJG,7,2023-05-07
SM,7,2024-02-19
SM,9,2024-01-18
MJG,9,2024-03-15
Não Aplicável - NA,11,2023-11-15
MJG,11,2024-04-08
Não Aplicável - NA,12,2023-08-16
MJG,15,2023-09-29
MJG,8,2023-10-20
SM,15,2024-01-17
MJG,15,2023-10-15
PD,13,2023-07-20
MJG,14,2023-10-02
PM,5,2023-11-16
PD,12,2024-02-03
Não Aplicável - NA,7,2024-01-29
PD,12,2023-07-23
PD,10,2023-06-10
PD,5,2023-11-10
MJG,6,2023-07-17
PM,15,2023-05-11
Não Aplicável - NA,10,2023-10-29
PM,12,2023-09-30
Não Aplicável - NA,7,2023-12-23
Não Aplicável - NA,12,2023-10-20
SM,7,2023-12-14
MJG,8,2023-06-07
Não Aplicável - NA,13,2023-07-04
PD,14,2023-07-23
PM,15,2023-11-09
PD,9,2023-08-21
PD,5,2023-04-26
Não Aplicável - NA,12,2023-05-26
PD,15,2023-12-02
Não Aplicável - NA,7,2024-02-27
SM,14,2023-12-10
SM,8,2024-02-13
SM,7,2023-11-25
SM,5,2024-03-22
PM,6,2023-11-26
SM,6,2024-01-27
SM,5,2023-08-12
Não Aplicável - NA,14,2023-07-27
Não Aplicável - NA,9,2024-01-07
PD,9,2024-02-17
Não Aplicável - NA,15,2023-06-27
MJG,15,2024-04-07
SM,8,2023-12-23
Não Aplicável - NA,7,2023-05-30
PM,11,2023-11-07
SM,13,2024-01-02
SM,5,2023-08-16
PD,6,2024-01-01
SM,12,2023-05-01
PD,11,2023-09-14
Não Aplicável - NA,15,2023-10-28
PD,11,2023-08-08
MJG,13,2024-01-04
PM,11,2024-02-19
SM,8,2023-12-08
Não Aplicável - NA,7,2024-01-07
PM,7,2023-08-20
PM,9,2023-05-28
SM,12,2024-03-31
Não Aplicável - NA,11,2023-08-21
PD,14,2024-04-05
SM,13,2024-01-22
MJG,10,2023-09-21
MJG,15,2024-03-31
PD,6,2024-04-12
PD,7,2023-11-06
Não Aplicável - NA,11,2023-05-31
PM,8,2023-09-19
MJG,13,2024-01-03
SM,13,2023-08-14
PD,8,2023-05-26
PM,10,2023-08-10
Não Aplicável - NA,6,2023-12-22
MJG,6,2023-08-15
Não Aplicável - NA,14,2024-01-11
SM,12,2023-09-15
PD,9,2023-05-20
PD,10,2023-07-01
Não Aplicável - NA,15,2023-09-03
Não Aplicável - NA,7,2023-12-30
MJG,11,2024-04-01
PD,10,2023-07-19
PD,12,2024-03-28
PD,14,2024-02-27
Não Aplicável - NA,6,2024-01-02
PM,10,2023-07-02
PM,5,2023-10-22
PM,7,2023-04-19
PM,7,2023-05-14
PM,5,2024-02-14
PM,10,2023-12-27
Não Aplicável - NA,13,2023-08-07
PD,9,2023-07-21
PM,13,2023-11-01
PM,6,2023-06-09
PM,6,2023-12-31
Não Aplicável - NA,6,2024-03-21
SM,13,2023-12-31
MJG,9,2023-11-30
MJG,8,2023-09-16
PM,14,2024-01-29
MJG,15,2023-09-09
PM,6,2024-01-26
PM,6,2023-10-30
Não Aplicável - NA,14,2023-07-15
Não Aplicável - NA,14,2024-03-31
Não Aplicável - NA,12,2023-11-13
SM,13,2024-03-25
SM,13,2023-05-14
PM,13,2024-04-04
SM,6,2023-07-28
Não Aplicável - NA,7,2023-10-28
PM,5,2023-09-30
PD,7,2023-11-04
Não Aplicável - NA,7,2023-09-18
PM,13,2024-01-23
PM,14,2023-09-21
Não Aplicável - NA,6,2023-09-19
MJG,5,2023-08-23
PD,6,2023-10-08
PM,12,2023-08-07
PD,9,2024-01-11
SM,8,2023-08-04
SM,15,2024-03-08
SM,13,2024-03-26
Não Aplicável - NA,7,2023-06-17
PD,10,2024-03-19
PM,6,2024-03-15
SM,9,2024-01-21
PD,8,2023-09-16
PD,10,2024-01-19
PM,7,2023-12-02
MJG,11,2023-06-07
PM,11,2023-09-10
PM,15,2023-06-13
Não Aplicável - NA,13,2023-11-17
PM,13,2023-09-24
PM,15,2024-01-16
SM,12,2023-05-01
MJG,7,2023-06-12
PD,7,2024-04-08
SM,5,2023-12-10
MJG,15,2023-11-05
PD,14,2023-09-10
SM,11,2023-11-12
PM,15,2023-09-02
PM,7,2023-04-29
PD,6,2024-02-27
PM,6,2023-05-10
PD,13,2023-11-14
MJG,6,2023-12-12
MJG,6,2023-09-25
PM,13,2024-01-23
Não Aplicável - NA,15,2023-12-21
Não Aplicável - NA,7,2024-03-19
SM,10,2023-05-27
Não Aplicável - NA,15,2024-03-27
Não Aplicável - NA,13,2023-09-30
MJG,14,2024-02-19
Não Aplicável - NA,9,2023-06-22
PM,6,2023-06-13
SM,15,2023-11-29
Não Aplicável - NA,10,2023-07-09
Não Aplicável - NA,5,2023-12-30
MJG,11,2023-08-01
PM,14,2023-07-25
Não Aplicável - NA,12,2023-07-06
Não Aplicável - NA,10,2024-03-08
PM,11,2023-10-25
MJG,12,2023-07-01
Não Aplicável - NA,10,2024-04-05
PM,6,2024-04-10
Não Aplicável - NA,12,2023-11-24
Não Aplicável - NA,15,2023-08-24
MJG,10,2023-11-20
PM,11,2024-03-06
MJG,8,2024-01-16
Não Aplicável - NA,14,2023-09-09
SM,12,2023-07-03
PM,5,2023-11-24
Não Aplicável - NA,10,2023-10-29
SM,9,2023-05-15
PM,15,2024-01-28
Não Aplicável - NA,13,2023-07-25
Não Aplicável - NA,15,2023-07-01
Não Aplicável - NA,13,2023-10-30
Não Aplicável - NA,6,2023-12-15
PM,14,2023-04-23
Não Aplicável - NA,9,2023-05-22
PD,8,2023-11-14
PM,8,2023-04-18
Não Aplicável - NA,11,2024-04-08
Não Aplicável - NA,9,2023-07-06
SM,9,2024-03-18
SM,12,2023-11-24
Não Aplicável - NA,9,2024-02-25
PD,15,2023-12-29
PM,15,2024-03-06
Não Aplicável - NA,11,2024-03-06
MJG,11,2023-05-16
PM,13,2023-08-26
MJG,7,2023-11-10
PD,12,2024-03-25
PD,6,2024-01-19
SM,13,2023-07-20
PM,5,2023-07-22
SM,5,2024-03-26
Não Aplicável - NA,7,2023-08-18
Não Aplicável - NA,11,2024-02-11
Não Aplicável - NA,6,2023-09-06
SM,14,2024-02-21
SM,11,2024-04-02
PD,8,2024-01-23
Não Aplicável - NA,7,2023-11-10
MJG,14,2024-03-19
MJG,7,2023-09-05
Não Aplicável - NA,10,2024-01-30
PM,7,2023-05-28
SM,8,2023-12-05
MJG,13,2023-09-21
Não Aplicável - NA,5,2023-08-25
Não Aplicável - NA,9,2023-12-31
PM,8,2023-06-10
PM,5,2023-07-17
PM,14,2024-03-30
MJG,10,2023-06-08
PD,6,2024-04-12
Não Aplicável - NA,9,2023-08-05
Não Aplicável - NA,7,2023-09-16
PM,6,2023-07-05
Não Aplicável - NA,9,2024-04-12
PM,9,2024-03-29
Não Aplicável - NA,7,2024-01-24
PD,12,2023-05-24
PD,8,2024-02-20
PM,10,2023-08-11
SM,14,2023-09-13
MJG,9,2023-11-19
PD,14,2023-11-05
PD,13,2023-08-06
PM,15,2023-08-04
PM,7,2024-02-26
Não Aplicável - NA,15,2023-12-25
PD,6,2023-05-05
Não Aplicável - NA,7,2023-09-05
PD,7,2024-02-24
PM,14,2024-04-04
SM,9,2023-12-10
Não Aplicável - NA,15,2023-07-25
MJG,8,2023-04-16
PM,9,2023-07-25
SM,6,2023-07-12
Não Aplicável - NA,11,2023-06-06
PM,13,2023-12-23
PD,6,2023-09-07
PM,10,2023-08-09
Não Aplicável - NA,5,2023-08-16
PM,14,2023-08-07
MJG,15,2023-09-22
PD,13,2024-03-10
MJG,13,2023-05-07
Não Aplicável - NA,11,2023-05-07
PD,6,2023-04-28
PM,15,2023-07-18
MJG,8,2023-08-28
PM,6,2023-11-07
SM,7,2023-10-15
Não Aplicável - NA,15,2023-07-27
Não Aplicável - NA,10,2023-11-28
PD,11,2024-03-14
Não Aplicável - NA,5,2023-08-02
SM,5,2024-04-09
SM,14,2023-06-22
SM,9,2024-04-03
MJG,15,2023-10-15
SM,10,2023-06-26
PM,13,2024-02-25
PD,13,2023-08-04
PD,6,2023-10-11
Não Aplicável - NA,8,2023-04-28
MJG,9,2023-06-28
PM,6,2024-01-16
Não Aplicável - NA,6,2024-03-25
PD,7,2023-07-01
PD,8,2024-03-05
SM,14,2024-03-28
SM,9,2024-04-01
Não Aplicável - NA,14,2023-11-21
Não Aplicável - NA,5,2024-01-29
PM,8,2023-07-11
SM,8,2023-08-31
PD,14,2023-09-06
SM,9,2023-05-31
PM,7,2023-06-14
PD,5,2023-11-29
PD,11,2023-05-11
MJG,13,2024-02-11
Não Aplicável - NA,9,2023-11-17
PM,12,2023-07-24
SM,15,2023-08-25
SM,5,2023-06-10
Não Aplicável - NA,9,2023-04-26
MJG,7,2023-06-26
SM,11,2023-12-22
MJG,6,2023-05-22
PD,8,2023-04-20
MJG,10,2024-04-10
MJG,12,2023-07-15
Não Aplicável - NA,7,2024-03-13
PM,15,2024-02-09
SM,14,2023-06-24
PD,7,2023-09-26
PD,11,2023-10-15
MJG,7,2024-03-11
MJG,8,2023-09-18
PM,5,2024-02-09
Não Aplicável - NA,8,2024-03-27
Não Aplicável - NA,9,2023-05-29
MJG,12,2024-03-03
Não Aplicável - NA,12,2024-01-17
SM,13,2024-03-03
PM,11,2023-12-09
SM,9,2023-12-24
PD,13,2023-05-19
PM,11,2024-02-24
SM,9,2024-02-19
MJG,10,2023-11-23
PD,5,2024-01-02
MJG,9,2024-04-14
SM,5,2023-12-03
PD,15,2023-09-11
MJG,12,2024-04-10
Não Aplicável - NA,13,2024-02-11
PM,15,2023-09-24
PD,6,2024-03-28
Não Aplicável - NA,13,2023-08-01
Não Aplicável - NA,12,2023-08-21
PM,6,2024-01-24
Não Aplicável - NA,6,2024-03-20
PD,13,2024-02-14
PM,5,2023-04-30
PD,11,2024-03-22
Não Aplicável - NA,14,2023-11-27
SM,7,2023-04-30
SM,9,2024-04-06
Não Aplicável - NA,15,2023-12-20
PM,13,2023-11-22
MJG,12,2024-02-19
SM,15,2023-10-20
MJG,9,2024-02-29
Não Aplicável - NA,6,2023-05-25
MJG,15,2023-05-12
PM,9,2023-08-28
SM,9,2023-05-24
PD,6,2023-10-12
PM,12,2023-07-18
SM,15,2023-09-26
SM,7,2024-01-09
SM,15,2023-06-10
Não Aplicável - NA,14,2023-08-17
PD,7,2023-12-18
PM,6,2024-02-24
SM,9,2023-08-13
SM,14,2023-11-28
MJG,11,2023-11-13
PD,7,2023-10-21
PD,9,2023-09-11
PM,15,2024-03-03
Não Aplicável - NA,9,2023-06-20
PM,15,2023-10-26
MJG,12,2023-04-18
MJG,6,2023-07-10
Não Aplicável - NA,10,2024-03-03
PD,6,2023-07-26
Não Aplicável - NA,13,2023-12-06
Não Aplicável - NA,9,2023-12-23
PM,13,2023-06-10
PD,12,2023-09-10
PM,8,2023-06-10
PM,5,2023-05-18
SM,15,2024-02-05
SM,14,2024-01-05
PM,15,2023-05-31
SM,8,2024-04-13
Não Aplicável - NA,13,2024-03-30
SM,12,2024-03-01
MJG,6,2024-02-02
PD,12,2023-08-18
Não Aplicável - NA,13,2023-12-03
PM,5,2023-10-16
PD,11,2024-03-27
PM,8,2023-08-21
MJG,12,2023-05-02
PD,7,2024-03-10
PD,9,2024-04-07
PD,12,2023-05-23
SM,9,2024-03-30
MJG,12,2023-12-26
PD,12,2023-12-16
MJG,13,2023-09-22
PM,9,2024-02-20
PD,13,2023-05-04
PD,7,2024-04-09
PM,7,2023-06-30
PM,13,2024-01-18
Não Aplicável - NA,10,2023-06-07
PM,9,2023-12-28
SM,11,2023-05-21
SM,5,2023-07-17
SM,13,2024-03-30
PM,15,2023-07-19
SM,11,2023-09-05
PM,10,2023-09-21
Não Aplicável - NA,9,2023-12-13
PD,10,2024-01-17
SM,8,2023-05-15
MJG,8,2024-04-05
MJG,14,2023-09-17
PM,8,2024-01-30
Não Aplicável - NA,6,2024-04-13
SM,10,2023-08-12
Não Aplicável - NA,7,2023-12-15
PM,11,2023-07-05
SM,15,2024-02-23
PM,15,2023-12-08
Não Aplicável - NA,6,2023-06-30
SM,9,2024-03-04
MJG,5,2023-04-21
SM,9,2023-09-29
Não Aplicável - NA,8,2024-01-13
PD,14,2023-06-15
MJG,8,2023-08-23
PM,14,2023-08-13
PM,9,2023-04-26
SM,14,2024-01-22
PM,12,2024-01-09
SM,6,2023-08-08
Não Aplicável - NA,11,2023-04-26
Não Aplicável - NA,14,2023-05-08
Não Aplicável - NA,8,2023-10-25
MJG,14,2023-09-26
Não Aplicável - NA,10,2023-08-23
SM,13,2024-03-24
PD,10,2024-03-03
PM,6,2023-06-11
Não Aplicável - NA,6,2023-10-28
MJG,5,2024-01-23
Não Aplicável - NA,8,2023-07-15
PD,7,2023-06-22
PM,8,2023-09-21
MJG,11,2024-03-24
Não Aplicável - NA,8,2024-02-06
PM,5,2023-12-31
PM,5,2023-10-03
SM,5,2024-02-26
PD,8,2023-08-21
MJG,10,2023-10-17
Não Aplicável - NA,12,2023-08-24
PD,11,2024-01-13
SM,8,2023-11-05
SM,7,2023-07-01
MJG,13,2023-05-29
Não Aplicável - NA,14,2023-07-02
MJG,5,2024-02-16
Não Aplicável - NA,8,2024-02-02
MJG,9,2023-10-14
SM,7,2023-07-23
Não Aplicável - NA,6,2023-12-14
PM,14,2023-10-13
Não Aplicável - NA,13,2023-08-17
Não Aplicável - NA,11,2024-03-17
PD,8,2023-10-14
Não Aplicável - NA,7,2024-01-02
